week_key,high_day,high_dow,high_day_name,low_day,low_dow,low_day_name,weekly_range_pips,high_first,low_first,same_day,year,weekly_return,bullish
2003-W48,2003-11-30,6,Sunday,2003-11-24,0,Monday,288.99999999999926,False,True,False,2003,205.99999999999952,True
2003-W49,2003-12-07,6,Sunday,2003-12-01,0,Monday,295.99999999999847,False,True,False,2003,238.9999999999981,True
2003-W50,2003-12-14,6,Sunday,2003-12-10,2,Wednesday,208.99999999999918,False,True,False,2003,97.9999999999981,True
2003-W51,2003-12-21,6,Sunday,2003-12-16,1,Tuesday,152.00000000000102,False,True,False,2003,80.99999999999996,True
2003-W52,2003-12-28,6,Sunday,2003-12-22,0,Monday,122.0000000000021,False,True,False,2003,98.00000000000031,True
2004-W01,2004-01-04,6,Sunday,2003-12-29,0,Monday,217.0000000000005,False,True,False,2004,184.9999999999996,True
2004-W02,2004-01-11,6,Sunday,2004-01-07,2,Wednesday,338.0000000000005,False,True,False,2004,72.99999999999862,True
2004-W03,2004-01-12,0,Monday,2004-01-18,6,Sunday,462.00000000000017,True,False,False,2004,-395.9999999999986,False
2004-W04,2004-01-22,3,Thursday,2004-01-19,0,Monday,429.99999999999926,False,True,False,2004,105.99999999999943,True
2004-W05,2004-01-27,1,Tuesday,2004-01-29,3,Thursday,357.9999999999983,True,False,False,2004,-39.00000000000014,False
2004-W06,2004-02-08,6,Sunday,2004-02-02,0,Monday,346.99999999999955,False,True,False,2004,277.00000000000057,True
2004-W07,2004-02-12,3,Thursday,2004-02-10,1,Tuesday,244.000000000002,False,True,False,2004,74.00000000000074,True
2004-W08,2004-02-17,1,Tuesday,2004-02-22,6,Sunday,476.9999999999985,True,False,False,2004,-216.00000000000063,False
2004-W09,2004-02-23,0,Monday,2004-02-26,3,Thursday,340.0000000000003,True,False,False,2004,-98.00000000000031,False
2004-W10,2004-03-07,6,Sunday,2004-03-02,1,Tuesday,432.00000000000125,False,True,False,2004,-55.000000000000604,False
2004-W11,2004-03-08,0,Monday,2004-03-10,2,Wednesday,293.000000000001,True,False,False,2004,-139.00000000000023,False
2004-W12,2004-03-17,2,Wednesday,2004-03-16,1,Tuesday,260.0000000000002,False,True,False,2004,75.00000000000063,True
2004-W13,2004-03-22,0,Monday,2004-03-28,6,Sunday,318.0000000000005,True,False,False,2004,-179.00000000000028,False
2004-W14,2004-03-31,2,Wednesday,2004-04-04,6,Sunday,403.0,True,False,False,2004,-139.00000000000023,False
2004-W15,2004-04-07,2,Wednesday,2004-04-05,0,Monday,236.00000000000065,False,True,False,2004,58.00000000000027,True
2004-W16,2004-04-12,0,Monday,2004-04-13,1,Tuesday,212.99999999999875,True,False,False,2004,-53.999999999998494,False
2004-W17,2004-04-19,0,Monday,2004-04-25,6,Sunday,254.00000000000088,True,False,False,2004,-147.99999999999923,False
2004-W18,2004-04-29,3,Thursday,2004-04-28,2,Wednesday,208.99999999999918,False,True,False,2004,84.99999999999952,True
2004-W19,2004-05-04,1,Tuesday,2004-05-09,6,Sunday,366.99999999999955,True,False,False,2004,-88.99999999999908,False
2004-W20,2004-05-16,6,Sunday,2004-05-12,2,Wednesday,285.9999999999996,False,True,False,2004,187.00000000000162,True
