week_key,open,high,low,close,weekly_range_pips,weekly_return_pips
2018-W42,1.15386,1.1621,1.1433,1.15117,187.9999999999993,-26.900000000000812
2018-W43,1.15139,1.15499,1.13355,1.13996,214.39999999999904,-114.29999999999829
2018-W44,1.13908,1.14557,1.13018,1.13857,153.90000000000015,-5.1000000000001044
2018-W45,1.13848,1.14996,1.13161,1.13329,183.50000000000088,-51.900000000000276
2018-W46,1.13223,1.142,1.12154,1.14145,204.59999999999923,92.20000000000006
2018-W47,1.14116,1.14723,1.13269,1.1335,145.39999999999998,-76.6
2018-W48,1.1339,1.14014,1.1267,1.13148,134.39999999999895,-24.199999999998667
2018-W49,1.135,1.14234,1.13105,1.13762,112.899999999998,26.200000000000667
2018-W50,1.13901,1.14425,1.12696,1.13036,172.90000000000026,-86.50000000000047
2018-W51,1.13008,1.14859,1.12967,1.13684,189.20000000000047,67.60000000000099
2018-W52,1.13692,1.14727,1.13428,1.14414,129.90000000000057,72.20000000000005
2019-W01,1.14331,1.14967,1.13092,1.13943,187.50000000000045,-38.800000000001056
2019-W02,1.13955,1.15697,1.13954,1.14656,174.30000000000058,70.09999999999961
2019-W03,1.14589,1.14896,1.13532,1.13614,136.39999999999876,-97.50000000000148
2019-W04,1.13603,1.14176,1.12892,1.14032,128.40000000000185,42.899999999999054
2019-W05,1.14005,1.15141,1.139,1.14547,124.10000000000032,54.199999999999804
2019-W06,1.14503,1.14603,1.13207,1.13207,139.60000000000196,-129.60000000000082
2019-W07,1.13186,1.13414,1.1234,1.12925,107.39999999999972,-26.100000000000012
2019-W08,1.12906,1.13711,1.12755,1.13319,95.60000000000014,41.29999999999967
2019-W09,1.1334,1.14197,1.13281,1.13633,91.59999999999835,29.300000000000992
2019-W10,1.13811,1.13826,1.11764,1.12336,206.20000000000084,-147.5000000000004
2019-W11,1.12335,1.13443,1.12217,1.13216,122.6000000000016,88.09999999999985
2019-W12,1.1322,1.1448,1.12732,1.1294,174.7999999999994,-28.000000000001357
2019-W13,1.12941,1.13314,1.12098,1.12179,121.59999999999948,-76.1999999999996
2019-W14,1.12254,1.12547,1.11836,1.12142,71.0999999999995,-11.200000000000099
2019-W15,1.12138,1.13239,1.12118,1.12976,112.09999999999943,83.80000000000054
2019-W16,1.13035,1.13237,1.12261,1.12408,97.59999999999991,-62.699999999999974
2019-W17,1.12408,1.1262,1.11111,1.11429,150.9000000000005,-97.89999999999965
2019-W18,1.11441,1.12647,1.1135,1.12007,129.70000000000147,56.59999999999998
2019-W19,1.11799,1.12536,1.11666,1.12329,86.9999999999993,52.99999999999861
2019-W20,1.1232,1.12635,1.11551,1.11563,108.39999999999961,-75.70000000000077
2019-W21,1.11598,1.12121,1.1107,1.12043,105.1000000000002,44.500000000000654
2019-W22,1.12108,1.12151,1.1116,1.11678,99.10000000000085,-42.9999999999997
2019-W23,1.11607,1.13477,1.11601,1.13334,187.6000000000011,172.70000000000118
2019-W24,1.1322,1.13434,1.12024,1.1205,141.0,-117.00000000000044
2019-W25,1.12089,1.13777,1.11813,1.13679,196.39999999999878,159.00000000000026
2019-W26,1.13695,1.14119,1.13442,1.13681,67.69999999999942,-1.3999999999980695
2019-W27,1.13595,1.1371,1.12073,1.12235,163.69999999999996,-136.00000000000057
2019-W28,1.12215,1.12857,1.11933,1.12698,92.40000000000137,48.30000000000112
2019-W29,1.12666,1.12838,1.11997,1.12192,84.10000000000028,-47.399999999999665
2019-W30,1.1215,1.12253,1.11013,1.11247,123.99999999999966,-90.29999999999872
2019-W31,1.11246,1.1162,1.10268,1.11057,135.19999999999976,-18.899999999999473
2019-W32,1.11042,1.12497,1.11033,1.11969,146.39999999999986,92.70000000000111
2019-W33,1.11978,1.12306,1.10662,1.10899,164.4000000000001,-107.90000000000077
2019-W34,1.10925,1.11532,1.10516,1.1136,101.60000000000169,43.499999999998536
2019-W35,1.11507,1.11639,1.09632,1.0988,200.70000000000033,-162.70000000000007
2019-W36,1.09893,1.10847,1.0926,1.1025,158.7000000000005,35.70000000000073
2019-W37,1.1026,1.11094,1.09268,1.10707,182.59999999999943,44.69999999999974
2019-W38,1.10732,1.10863,1.09901,1.10169,96.19999999999962,-56.30000000000024
2019-W39,1.10136,1.10253,1.09046,1.09367,120.70000000000024,-76.89999999999975
2019-W40,1.09419,1.09992,1.0879,1.0976,120.19999999999919,34.09999999999913
2019-W41,1.09803,1.10626,1.09409,1.10329,121.70000000000014,52.60000000000042
2019-W42,1.10316,1.11719,1.09912,1.11703,180.69999999999808,138.7000000000005
2019-W43,1.11607,1.11793,1.10729,1.10792,106.39999999999984,-81.49999999999879
2019-W44,1.10793,1.11755,1.10735,1.11641,101.99999999999987,84.7999999999982
2019-W45,1.11684,1.11753,1.10167,1.10176,158.59999999999985,-150.7999999999998
2019-W46,1.1023,1.10569,1.0989,1.10494,67.90000000000074,26.399999999999757
2019-W47,1.10489,1.10969,1.10143,1.10179,82.60000000000156,-30.999999999998806
2019-W48,1.1017,1.10321,1.09811,1.1015,51.000000000001044,-1.9999999999997797
2019-W49,1.10229,1.11161,1.10029,1.10543,113.19999999999996,31.399999999999206
2019-W50,1.1058,1.11995,1.10533,1.11174,146.20000000000078,59.40000000000056
2019-W51,1.1128,1.11746,1.10662,1.10769,108.39999999999961,-51.09999999999948
2019-W52,1.1081,1.11883,1.1069,1.11713,119.29999999999995,90.29999999999872
2020-W01,1.11736,1.12391,1.11249,1.11548,114.19999999999986,-18.799999999998818
2020-W02,1.11656,1.12055,1.1085,1.11165,120.49999999999895,-49.099999999999696
2020-W03,1.11141,1.11727,1.10862,1.1089,86.50000000000047,-25.100000000000122
2020-W04,1.1091,1.11179,1.10195,1.10224,98.40000000000072,-68.59999999999866
2020-W05,1.10318,1.10954,1.09923,1.10944,103.10000000000042,62.599999999999326
2020-W06,1.10939,1.10939,1.09419,1.09438,152.00000000000102,-150.1000000000019
2020-W07,1.09439,1.09574,1.08271,1.08299,130.29999999999876,-114.00000000000077
2020-W08,1.08406,1.08635,1.07778,1.08456,85.69999999999966,4.999999999999449
2020-W09,1.08145,1.1053,1.0805,1.10251,247.99999999999932,210.6000000000008
2020-W10,1.10423,1.13567,1.10362,1.1347,320.4999999999991,304.7
2020-W11,1.13469,1.14954,1.1055,1.119,440.4000000000008,-156.8999999999998
2020-W12,1.119,1.12366,1.06375,1.06939,599.1000000000013,-496.09999999999934
2020-W13,1.06942,1.11473,1.06357,1.11379,511.60000000000093,443.7000000000002
2020-W14,1.11172,1.11383,1.07727,1.07955,365.6000000000015,-321.70000000000033
2020-W15,1.08082,1.09524,1.07683,1.09326,184.10000000000036,124.40000000000006
2020-W16,1.09482,1.09907,1.08119,1.08711,178.79999999999896,-77.09999999999883
2020-W17,1.08748,1.08967,1.07271,1.08196,169.59999999999863,-55.19999999999969
2020-W18,1.08211,1.10187,1.08097,1.09777,208.99999999999918,156.60000000000008
2020-W19,1.09676,1.09736,1.07665,1.08371,207.09999999999783,-130.50000000000006
2020-W20,1.08265,1.08965,1.07748,1.08183,121.70000000000014,-8.199999999998209
2020-W21,1.08088,1.10083,1.07999,1.0898,208.3999999999997,89.20000000000039
2020-W22,1.08956,1.11451,1.08706,1.11036,274.4999999999998,207.9999999999993
2020-W23,1.11129,1.13836,1.11004,1.12911,283.20000000000124,178.2000000000017
2020-W24,1.12934,1.14224,1.12125,1.1255,209.8999999999984,-38.40000000000066
2020-W25,1.12329,1.13532,1.1168,1.11759,185.20000000000093,-56.99999999999817
2020-W26,1.11835,1.13486,1.11684,1.1217,180.19999999999925,33.499999999999645
2020-W27,1.12149,1.13026,1.11848,1.12464,117.80000000000123,31.49999999999986
2020-W28,1.12433,1.13706,1.12411,1.1299,129.50000000000017,55.699999999998525
2020-W29,1.13039,1.1452,1.13008,1.14269,151.20000000000022,122.99999999999977
2020-W30,1.14084,1.1658,1.14023,1.16546,255.6999999999987,246.19999999999865
2020-W31,1.1643,1.19087,1.16413,1.17753,267.39999999999986,132.30000000000075
2020-W32,1.17725,1.1916,1.16959,1.17862,220.10000000000085,13.700000000000934
2020-W33,1.17886,1.18641,1.1711,1.18414,153.09999999999934,52.799999999999514
2020-W34,1.18389,1.19656,1.17541,1.17949,211.50000000000003,-44.00000000000182
2020-W35,1.17911,1.19197,1.17623,1.19018,157.39999999999864,110.69999999999914
2020-W36,1.18998,1.20113,1.17809,1.18371,230.3999999999995,-62.699999999999974
2020-W37,1.18432,1.19175,1.17527,1.18453,164.8000000000005,2.100000000000435
2020-W38,1.18348,1.19005,1.17373,1.18385,163.20000000000113,3.6999999999998145
2020-W39,1.18369,1.18717,1.16121,1.16277,259.59999999999985,-209.19999999999828
2020-W40,1.16271,1.17696,1.1615,1.17157,154.6000000000003,88.6000000000009
2020-W41,1.1711,1.1831,1.17053,1.18248,125.6999999999997,113.79999999999946
2020-W42,1.18103,1.18266,1.16884,1.17132,138.19999999999942,-97.10000000000107
2020-W43,1.17181,1.18807,1.17031,1.18558,177.59999999999997,137.7000000000006
2020-W44,1.18569,1.18605,1.164,1.16431,220.50000000000125,-213.79999999999956
2020-W45,1.16498,1.18908,1.16026,1.187,288.19999999999845,220.2000000000015
2020-W46,1.18898,1.19199,1.17454,1.1831,174.50000000000188,-58.79999999999885
2020-W47,1.18411,1.18937,1.18141,1.18544,79.59999999999967,13.300000000000534
2020-W48,1.18538,1.19641,1.17997,1.1962,164.4000000000001,108.1999999999983
2020-W49,1.19614,1.21773,1.19353,1.21202,242.0,158.80000000000115
2020-W50,1.21308,1.21662,1.20587,1.21086,107.50000000000037,-22.199999999998887
2020-W51,1.21367,1.22726,1.21155,1.22559,157.10000000000113,119.1999999999993
2020-W52,1.2221,1.2257,1.21296,1.21922,127.39999999999974,-28.799999999999937
2020-W53,1.2186,1.23101,1.21811,1.22153,128.99999999999912,29.300000000000992
2021-W01,1.22396,1.23494,1.21929,1.22174,156.49999999999943,-22.199999999998887
2021-W02,1.22175,1.22284,1.20747,1.20748,153.69999999999885,-142.69999999999783
2021-W03,1.20838,1.21894,1.20535,1.21667,135.89999999999992,82.89999999999908
